Subject;S_Age;S_Gender;S_Order;Q_1;Q_2;Q_3;Q_4;Q_5;Q_6;Q_7;Q_8;Q_9;Q_10;Q_11;Q_12;Q_13;Q_14;Score_DO_Soc;Score_NDO_Soc;Score_DO_NSoc;Score_NDO_NSoc;8-12Hz_Fp_Soc;8-12Hz_Fp_NSoc;8-12Hz_C_Soc;8-12Hz_C_NSoc;8-12Hz_P_Soc;8-12Hz_P_NSoc;8-12Hz_O_Soc;8-12Hz_O_NSoc
1;27;Man;1;Somewhat agree;Somewhat agree;Somewhat disagree;Agree;Agree;Somewhat agree;Somewhat agree;Neither agree or disagree;Somewhat disagree;Neither agree or disagree;Neither agree or disagree;Somewhat disagree;Somewhat disagree;Somewhat disagree;12;9;9;9;35.2610825300217;34.6371600627899;38.3525021076202;37.6838146448135;38.2985540628433;36.9861390590668;41.4164278507233;40.6314640045166
2;22;Man;1;Disagree;Neither agree or disagree;Somewhat agree;Somewhat agree;Agree;Agree;Neither agree or disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat agree;Agree;Disagree;Neither agree or disagree;11;9;2;7;37.7905153036118;37.6744786500931;38.7165677547455;38.8588418960571;37.9547835588455;37.7794437408447;39.1104037761688;38.4596569538116
3;27;Man;1;Somewhat agree;Strongly agree;Strongly disagree;Somewhat agree;Strongly agree;Agree;Agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Agree;Disagree;Agree;8;11;12;9;34.5769255161285;34.3296963572502;37.5080995559692;36.9617484807968;37.2155177593231;36.6146146059036;36.6205644607544;35.6199727058411
4;28;Woman;5;Somewhat agree;Somewhat agree;Neither agree or disagree;Somewhat agree;Somewhat agree;Neither agree or disagree;Strongly agree;Somewhat disagree;Somewhat agree;Agree;Agree;Somewhat disagree;Somewhat agree;Agree;10;8;8;7;NA;NA;NA;NA;NA;NA;NA;NA
5;25;Man;5;Somewhat agree;Disagree;Agree;Neither agree or disagree;Somewhat disagree;Disagree;Agree;Neither agree or disagree;Neither agree or disagree;Agree;Somewhat agree;Strongly agree;Agree;Neither agree or disagree;9;10;6;10;30.1300486326218;30.2871862649918;32.0542323589325;32.7663773298264;32.4007080793381;32.8906006813049;33.0983019471169;33.1462889909744
6;23;Man;5;Agree;Disagree;Disagree;Neither agree or disagree;Strongly disagree;Strongly disagree;Somewhat agree;Agree;Neither agree or disagree;Agree;Somewhat agree;Disagree;Disagree;Neither agree or disagree;11;9;9;10;41.5465666055679;39.6736035346985;39.4922169446945;37.859648823738;41.077317237854;39.8543772697449;41.4548332691193;38.782793879509
7;26;Man;5;Agree;Agree;Strongly disagree;Somewhat disagree;Somewhat agree;Strongly disagree;Neither agree or disagree;Agree;Disagree;Somewhat disagree;Neither agree or disagree;Somewhat agree;Somewhat agree;Agree;12;12;11;4;39.0214059352875;39.320582985878;40.3323407173157;39.7680695056915;40.1304649114609;40.88745033741;37.3643406629562;37.0056347846985
8;27;Man;3;Strongly disagree;Strongly agree;Somewhat agree;Somewhat agree;Agree;Agree;Strongly agree;Somewhat agree;Somewhat disagree;Agree;Somewhat agree;Strongly agree;Strongly disagree;Somewhat agree;11;8;11;7;44.5383627414703;44.3618050813675;37.5053433179855;37.5763411521912;36.8339450359345;37.2410281896591;40.6494425535202;39.2371572256088
9;25;Woman;3;Somewhat agree;Agree;Somewhat agree;Somewhat agree;Neither agree or disagree;Neither agree or disagree;Disagree;Disagree;Disagree;Agree;Agree;Strongly agree;Strongly disagree;Strongly disagree;10;10;8;11;44.5917655229569;44.4662190675736;38.7294510602951;38.4167357683182;38.931355714798;38.6879074573517;41.6871786117554;42.2063500881195
10;29;Man;3;Somewhat agree;Somewhat agree;Disagree;Somewhat disagree;Somewhat agree;Somewhat agree;Agree;Agree;Somewhat agree;Agree;Disagree;Somewhat agree;Strongly disagree;Disagree;12;10;12;11;27.8874503970146;26.9421690702438;37.8820970058441;36.4487193822861;36.0685278177261;35.1824661493301;35.5227590799332;35.1546932458878
11;46;Man;7;Somewhat agree;Somewhat agree;Strongly disagree;Disagree;Somewhat agree;Somewhat agree;Somewhat disagree;Neither agree or disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat disagree;Disagree;Somewhat agree;11;11;11;9;36.7199141979218;36.1094728708267;36.2412401437759;36.1048147678375;36.302334189415;36.1047804355621;35.5762783288956;35.6143565177918
12;25;Woman;7;Neither agree or disagree;Agree;Somewhat disagree;Disagree;Somewhat agree;Strongly agree;Neither agree or disagree;Disagree;Somewhat agree;Neither agree or disagree;Somewhat disagree;Neither agree or disagree;Disagree;Somewhat disagree;10;9;9;6;37.6171797513962;36.7821049690247;37.929500579834;37.4991879463196;39.0008454322815;38.2800662517548;37.0572905540466;36.6613785028458
13;24;Man;7;Somewhat agree;Strongly agree;Neither agree or disagree;Disagree;Agree;Somewhat agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Disagree;Somewhat agree;Neither agree or disagree;Neither agree or disagree;12;11;10;11;38.2310596704483;37.1123268604279;39.2560174465179;38.2716084718704;39.5745605230331;39.7836188077927;38.9457764625549;38.1578943729401
14;22;Man;7;Somewhat agree;Somewhat agree;Somewhat disagree;Agree;Agree;Neither agree or disagree;Agree;Neither agree or disagree;Agree;Agree;Agree;Strongly agree;Neither agree or disagree;Neither agree or disagree;12;9;7;5;36.4523167610168;36.0320227146149;36.1819136142731;35.2427364587784;35.3582144975662;34.8627682924271;34.5363074541092;34.9596081972122
15;25;Man;1;Neither agree or disagree;Agree;Disagree;Disagree;Somewhat agree;Neither agree or disagree;Agree;Somewhat disagree;Somewhat agree;Agree;Agree;Somewhat agree;Disagree;Agree;6;10;5;12;38.0285564661026;37.895388007164;39.0894141197205;39.7740368843079;38.7988679409027;38.0110306739807;38.458522439003;38.0107842683792
16;25;Man;3;Somewhat agree;Neither agree or disagree;Disagree;Disagree;Neither agree or disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Agree;Strongly agree;Strongly agree;Disagree;Somewhat disagree;10;10;12;10;37.1748669147491;37.3906172513962;37.9909393787384;38.7642060518265;36.8995523452759;37.5073108673096;33.6050754785538;34.7101687192917
17;29;Woman;5;Neither agree or disagree;Agree;Somewhat agree;Disagree;Disagree;Neither agree or disagree;Strongly disagree;Strongly disagree;Neither agree or disagree;Agree;Somewhat disagree;Strongly agree;Neither agree or disagree;Somewhat agree;12;11;12;10;36.8022181987762;36.8677302598953;34.3264880180359;34.4312481880187;35.3198305368423;36.3609652519226;37.8936817646027;38.0636470317841
18;27;Man;1;Somewhat disagree;Somewhat agree;Strongly disagree;Strongly disagree;Somewhat agree;Neither agree or disagree;Agree;Neither agree or disagree;Agree;Agree;Strongly agree;Strongly agree;Strongly disagree;Disagree;9;10;9;8;35.1323201656342;34.6346942186356;34.8796324729919;35.5074925422668;36.4509592056274;35.7882457971573;38.9498653411865;38.4250725507736
19;27;Woman;3;Disagree;Neither agree or disagree;Agree;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat agree;Agree;Strongly agree;Strongly disagree;Strongly disagree;11;10;12;12;39.1850799322128;38.13081407547;37.847913146019;37.728547334671;38.913498044014;38.116504907608;40.0909595489502;39.2178943157196
20;29;Woman;5;Agree;Agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat disagree;Strongly agree;Agree;Agree;Somewhat agree;Strongly agree;Agree;Strongly agree;12;10;12;10;38.9409908056259;39.4203379154205;37.0648847818375;36.7954672574997;38.2910085916519;38.3462386131287;37.1313313245773;37.9063009023666
21;26;Man;1;Somewhat agree;Agree;Neither agree or disagree;Somewhat agree;Somewhat agree;Somewhat agree;Agree;Somewhat agree;Disagree;Agree;Agree;Neither agree or disagree;Somewhat disagree;Agree;12;9;10;7;34.8679770231247;34.5026034116744;37.7648725509644;36.7858898639679;39.4779381752014;38.1610774993897;35.7374140024185;35.4850183725357
22;22;Woman;7;Somewhat agree;Neither agree or disagree;Somewhat disagree;Neither agree or disagree;Somewhat agree;Neither agree or disagree;Strongly agree;Neither agree or disagree;Neither agree or disagree;Agree;Somewhat agree;Agree;Strongly agree;Somewhat disagree;10;9;12;11;35.2565516233444;35.2186152935028;35.778489947319;35.2847019433975;38.9964236021042;38.3200218677521;36.85120677948;36.8453849554062
23;26;Man;3;Somewhat agree;Agree;Disagree;Disagree;Neither agree or disagree;Neither agree or disagree;Disagree;Neither agree or disagree;Neither agree or disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Neither agree or disagree;8;5;12;10;39.2445282936096;38.1362427473068;40.9432102441788;40.0955936908722;40.5018835067749;38.6142721176147;36.7987765073776;35.2102309465408
24;27;Man;5;Agree;Agree;Somewhat disagree;Strongly agree;Somewhat agree;Agree;Strongly agree;Agree;Disagree;Strongly agree;Somewhat agree;Somewhat agree;Disagree;Strongly agree;12;7;10;5;35.3853639364243;37.2207114696503;37.4708142280579;37.22347676754;36.3618757724762;37.271045088768;38.0342047214508;38.2616330385208
25;38;Woman;7;Agree;Agree;Disagree;Disagree;Somewhat agree;Neither agree or disagree;Agree;Agree;Neither agree or disagree;Agree;Agree;Neither agree or disagree;Somewhat disagree;Agree;10;10;11;10;32.9893032312393;35.21402156353;36.5322781801224;36.7990146875382;35.3696635961533;35.7220953702927;38.3137259483337;38.04514503479
26;25;Man;1;Somewhat agree;Somewhat agree;Disagree;Neither agree or disagree;Agree;Agree;Disagree;Neither agree or disagree;Disagree;Strongly agree;Strongly agree;Neither agree or disagree;Disagree;Disagree;6;8;8;11;38.5913730859757;38.4522374868393;41.3911191225052;41.4226322174072;41.0771723985671;40.8525493144989;38.3541882038116;37.7780101299286
27;25;Man;5;Somewhat disagree;Somewhat agree;Neither agree or disagree;Somewhat agree;Neither agree or disagree;Neither agree or disagree;Neither agree or disagree;Somewhat agree;Neither agree or disagree;Agree;Somewhat agree;Somewhat agree;Somewhat disagree;Agree;12;9;8;10;43.3295782804489;41.4142210483551;43.126814365387;41.1269289255142;40.762957572937;39.8888211250305;39.8089615106583;38.4125362038612
28;25;Woman;3;Agree;Somewhat agree;Agree;Neither agree or disagree;Agree;Disagree;Strongly disagree;Agree;Disagree;Somewhat agree;Agree;Strongly agree;Agree;Strongly disagree;11;5;12;10;40.8514624834061;39.7369930744171;39.8050485849381;39.6526108980179;38.9625836610794;38.9091476202011;42.7086589336395;42.1030677556992
